,path,age
28,common_voice_pl_23840821.mp3,thirties
32,common_voice_pl_23694146.mp3,twenties
46,common_voice_pl_24085740.mp3,twenties
65,common_voice_pl_48039994.mp3,thirties
68,common_voice_pl_23756053.mp3,twenties
72,common_voice_pl_23995516.mp3,thirties
134,common_voice_pl_20605516.mp3,twenties
154,common_voice_pl_37353781.mp3,sixties+
162,common_voice_pl_26609171.mp3,teens
169,common_voice_pl_24224913.mp3,thirties
181,common_voice_pl_23579454.mp3,twenties
259,common_voice_pl_23740258.mp3,teens
260,common_voice_pl_23740264.mp3,teens
266,common_voice_pl_20605922.mp3,twenties
295,common_voice_pl_23647315.mp3,thirties
296,common_voice_pl_23647316.mp3,thirties
319,common_voice_pl_22723315.mp3,twenties
320,common_voice_pl_22723318.mp3,twenties
381,common_voice_pl_21873862.mp3,fourties
400,common_voice_pl_20613229.mp3,twenties
414,common_voice_pl_21373330.mp3,thirties
423,common_voice_pl_23939982.mp3,twenties
424,common_voice_pl_23939984.mp3,twenties
441,common_voice_pl_20626196.mp3,fourties
443,common_voice_pl_20626203.mp3,fourties
582,common_voice_pl_23372890.mp3,fifties
583,common_voice_pl_23372891.mp3,fifties
652,common_voice_pl_20603837.mp3,twenties
655,common_voice_pl_38182400.mp3,fourties
656,common_voice_pl_38182402.mp3,fourties
710,common_voice_pl_20968703.mp3,teens
711,common_voice_pl_20968704.mp3,teens
713,common_voice_pl_20643489.mp3,thirties
760,common_voice_pl_20774922.mp3,twenties
761,common_voice_pl_20774925.mp3,twenties
769,common_voice_pl_32072424.mp3,twenties
771,common_voice_pl_32129747.mp3,twenties
800,common_voice_pl_20605390.mp3,teens
845,common_voice_pl_26771856.mp3,teens
870,common_voice_pl_20779721.mp3,thirties
954,common_voice_pl_20633899.mp3,thirties
955,common_voice_pl_20633901.mp3,thirties
957,common_voice_pl_20633903.mp3,thirties
1034,common_voice_pl_20655888.mp3,twenties
1035,common_voice_pl_20655890.mp3,twenties
1036,common_voice_pl_20655891.mp3,twenties
1037,common_voice_pl_20655893.mp3,twenties
1038,common_voice_pl_21604051.mp3,thirties
1039,common_voice_pl_21604053.mp3,thirties
1090,common_voice_pl_35727790.mp3,fifties
