,path,age
0,common_voice_pl_20605185.mp3,thirties
1,common_voice_pl_43564609.mp3,thirties
2,common_voice_pl_23840821.mp3,thirties
5,common_voice_pl_23677778.mp3,twenties
6,common_voice_pl_20605456.mp3,thirties
7,common_voice_pl_48039994.mp3,thirties
8,common_voice_pl_23756053.mp3,twenties
10,common_voice_pl_23995516.mp3,thirties
13,common_voice_pl_20605516.mp3,twenties
14,common_voice_pl_37353781.mp3,sixties+
15,common_voice_pl_26609171.mp3,teens
19,common_voice_pl_23579454.mp3,twenties
21,common_voice_pl_22955794.mp3,thirties
23,common_voice_pl_23757850.mp3,fourties
25,common_voice_pl_23740264.mp3,teens
26,common_voice_pl_20605747.mp3,twenties
27,common_voice_pl_20605922.mp3,twenties
30,common_voice_pl_23647316.mp3,thirties
31,common_voice_pl_22723315.mp3,twenties
32,common_voice_pl_22723318.mp3,twenties
34,common_voice_pl_27100226.mp3,twenties
35,common_voice_pl_21873862.mp3,fourties
36,common_voice_pl_21873864.mp3,fourties
37,common_voice_pl_20613227.mp3,twenties
42,common_voice_pl_21373330.mp3,thirties
44,common_voice_pl_23939984.mp3,twenties
48,common_voice_pl_20616268.mp3,teens
52,common_voice_pl_23372891.mp3,fifties
53,common_voice_pl_23372895.mp3,fifties
54,common_voice_pl_20603774.mp3,twenties
56,common_voice_pl_20604015.mp3,twenties
58,common_voice_pl_38182400.mp3,fourties
59,common_voice_pl_38182402.mp3,fourties
62,common_voice_pl_20968704.mp3,teens
64,common_voice_pl_20643489.mp3,thirties
65,common_voice_pl_20643491.mp3,thirties
66,common_voice_pl_20774922.mp3,twenties
69,common_voice_pl_32072424.mp3,twenties
72,common_voice_pl_20605290.mp3,teens
77,common_voice_pl_26771857.mp3,teens
78,common_voice_pl_20779721.mp3,thirties
79,common_voice_pl_20779722.mp3,thirties
82,common_voice_pl_20633899.mp3,thirties
83,common_voice_pl_20633901.mp3,thirties
86,common_voice_pl_20655888.mp3,twenties
91,common_voice_pl_21604053.mp3,thirties
94,common_voice_pl_35727790.mp3,fifties
95,common_voice_pl_35727791.mp3,fifties
96,common_voice_pl_35727792.mp3,fifties
97,common_voice_pl_35727793.mp3,fifties
103,common_voice_pl_20651422.mp3,twenties
105,common_voice_pl_20651424.mp3,twenties
107,common_voice_pl_20612264.mp3,fourties
110,common_voice_pl_20838539.mp3,fourties
112,common_voice_pl_20838541.mp3,fourties
117,common_voice_pl_20774285.mp3,fourties
119,common_voice_pl_23651460.mp3,fourties
122,common_voice_pl_23809138.mp3,fourties
123,common_voice_pl_23809139.mp3,fourties
124,common_voice_pl_23809140.mp3,fourties
125,common_voice_pl_23809141.mp3,fourties
