,path,age
0,common_voice_pl_20605185.mp3,thirties
1,common_voice_pl_43564609.mp3,thirties
5,common_voice_pl_23677778.mp3,twenties
6,common_voice_pl_20605456.mp3,thirties
9,common_voice_pl_20604512.mp3,thirties
11,common_voice_pl_23850162.mp3,teens
12,common_voice_pl_24062356.mp3,thirties
16,common_voice_pl_23757202.mp3,twenties
18,common_voice_pl_20603842.mp3,thirties
20,common_voice_pl_23999996.mp3,twenties
21,common_voice_pl_22955794.mp3,thirties
22,common_voice_pl_23747240.mp3,twenties
23,common_voice_pl_23757850.mp3,fourties
26,common_voice_pl_20605747.mp3,twenties
28,common_voice_pl_43336084.mp3,twenties
33,common_voice_pl_27100225.mp3,twenties
34,common_voice_pl_27100226.mp3,twenties
36,common_voice_pl_21873864.mp3,fourties
37,common_voice_pl_20613227.mp3,twenties
39,common_voice_pl_20703091.mp3,thirties
40,common_voice_pl_20703094.mp3,thirties
41,common_voice_pl_21373327.mp3,thirties
46,common_voice_pl_20626198.mp3,fourties
48,common_voice_pl_20616268.mp3,teens
49,common_voice_pl_20616270.mp3,teens
50,common_voice_pl_20616272.mp3,teens
53,common_voice_pl_23372895.mp3,fifties
54,common_voice_pl_20603774.mp3,twenties
56,common_voice_pl_20604015.mp3,twenties
57,common_voice_pl_38182399.mp3,fourties
60,common_voice_pl_20968702.mp3,teens
63,common_voice_pl_20643488.mp3,thirties
65,common_voice_pl_20643491.mp3,thirties
68,common_voice_pl_20774933.mp3,twenties
70,common_voice_pl_32072427.mp3,twenties
72,common_voice_pl_20605290.mp3,teens
74,common_voice_pl_20605925.mp3,teens
75,common_voice_pl_26771851.mp3,teens
77,common_voice_pl_26771857.mp3,teens
79,common_voice_pl_20779722.mp3,thirties
80,common_voice_pl_20779723.mp3,thirties
81,common_voice_pl_20779724.mp3,thirties
84,common_voice_pl_20633902.mp3,thirties
92,common_voice_pl_21604054.mp3,thirties
93,common_voice_pl_21604055.mp3,thirties
96,common_voice_pl_35727792.mp3,fifties
100,common_voice_pl_20633506.mp3,twenties
102,common_voice_pl_20651421.mp3,twenties
103,common_voice_pl_20651422.mp3,twenties
104,common_voice_pl_20651423.mp3,twenties
105,common_voice_pl_20651424.mp3,twenties
107,common_voice_pl_20612264.mp3,fourties
109,common_voice_pl_20612267.mp3,fourties
112,common_voice_pl_20838541.mp3,fourties
114,common_voice_pl_20774282.mp3,fourties
115,common_voice_pl_20774283.mp3,fourties
117,common_voice_pl_20774285.mp3,fourties
119,common_voice_pl_23651460.mp3,fourties
124,common_voice_pl_23809140.mp3,fourties
126,common_voice_pl_24776903.mp3,fourties
129,common_voice_pl_24776906.mp3,fourties
